City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
31,Kumluca,TR,76.37,clear sky,36.3703,30.2869,Akkol Apart
37,Saint George,US,93.79,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
46,Altar,MX,93.25,few clouds,30.7,-111.8167,Hotel Maria Elena
49,Hong Gai,VN,87.71,overcast clouds,20.956,107.0946,Hạ Long DC Hotel
55,Kavaratti,IN,82.31,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
65,Bathsheba,BB,80.6,overcast clouds,13.2167,-59.5167,Atlantis Hotel
73,Hilo,US,82.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
83,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
98,Miri,MY,81.84,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
100,San Policarpo,PH,82.63,moderate rain,12.1791,125.5072,Agapita M. Nicart
107,Sur,OM,87.26,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
108,Half Moon Bay,US,79.79,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
111,Tezu,IN,75.06,overcast clouds,27.9167,96.1667,Circuit House
113,Esmeralda,CU,76.78,light rain,21.8525,-78.1169,Centro de Pioneros Exploradores
118,Hithadhoo,MV,83.59,light rain,-0.6,73.0833,Scoop Guest House
124,Bubaque,GW,81.23,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
126,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
129,Victoria,HK,90.32,broken clouds,22.2855,114.1577,Mini Central
133,Casa Nova,BR,75.36,scattered clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
134,Ust-Nera,RU,80.56,broken clouds,64.5667,143.2,Hotel Ust-Nera
141,Sao Filipe,CV,75.24,overcast clouds,14.8961,-24.4956,Hotel Xaguate
145,North Bend,US,79.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
150,Hambantota,LK,81.12,broken clouds,6.1241,81.1185,Bungalow 63
163,Faanui,PF,80.35,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
166,Fairbanks,US,80.6,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
170,Hailar,CN,76.32,scattered clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
171,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
174,Dwarka,IN,83.64,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
189,Bengkulu,ID,80.58,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
190,Ishigaki,JP,86.13,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
193,Atuona,PF,77.58,scattered clouds,-9.8,-139.0333,Villa Enata
194,Anloga,GH,78.04,overcast clouds,5.7947,0.8973,Pin Drop Hotel
200,Sibolga,ID,81.72,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
205,Natal,BR,75.85,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
206,Kupang,ID,82.53,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
208,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
209,Vanimo,PG,85.8,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
210,Kavieng,PG,83.97,light rain,-2.5744,150.7967,Nusa Island Retreat
211,Baghdad,IQ,82.31,dust,33.3406,44.4009,Baghdad Hotel
212,Smithers,CA,75.52,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
216,Noumea,NC,80.58,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
226,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
227,Kapit,MY,83.16,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
230,High Rock,BS,80.62,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
231,Naze,JP,85.12,broken clouds,28.3667,129.4833,Shishime Hotel
236,Arlit,NE,91.76,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
244,Axim,GH,75.36,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
