City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,58.64,77,100,13.47,overcast clouds
1,Ilulissat,GL,69.2167,-51.1,41.02,87,100,6.91,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,42.91,87,40,17.27,light intensity shower rain
3,Mattru,SL,7.6244,-11.8332,73.2,99,63,2.53,light rain
4,Fuling,CN,29.7022,107.3919,75.96,97,100,5.1,heavy intensity rain
5,Saldanha,ZA,-33.0117,17.9442,56.66,52,0,9.48,clear sky
6,Cape Town,ZA,-33.9258,18.4232,56.12,73,0,4.0,clear sky
7,Tongren,CN,27.7172,109.1853,84.7,73,100,9.26,overcast clouds
8,Vokhma,RU,58.9303,46.7586,59.49,96,100,8.14,overcast clouds
9,Asau,RO,46.4333,26.4,61.72,92,24,4.34,few clouds
10,Meadow Lake,US,34.8014,-106.5436,67.68,66,100,9.89,overcast clouds
11,Geraldton,AU,-28.7667,114.6,61.21,72,0,6.91,clear sky
12,Mahebourg,MU,-20.4081,57.7,66.25,66,7,10.0,clear sky
13,Yerbogachen,RU,61.2767,108.0108,70.57,61,7,12.57,light rain
14,Rikitea,PF,-23.1203,-134.9692,74.7,70,0,5.23,clear sky
15,Mapiripan,CO,2.8892,-72.1256,69.04,95,98,3.65,overcast clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,45.09,77,0,5.75,clear sky
17,Berdigestyakh,RU,62.0989,126.6992,77.76,44,38,10.4,scattered clouds
18,Buala,SB,-8.145,159.5921,81.07,81,100,10.0,light rain
19,Ushuaia,AR,-54.8,-68.3,42.46,87,75,18.41,broken clouds
20,Mataura,NZ,-46.1927,168.8643,48.47,92,100,2.62,moderate rain
21,Abalak,RU,58.1286,68.5944,48.61,98,100,11.03,light rain
22,Sombrio,BR,-29.1139,-49.6167,56.93,91,100,3.4,overcast clouds
23,Kruisfontein,ZA,-34.0033,24.7314,48.85,54,5,6.67,clear sky
24,Hobart,AU,-42.8794,147.3294,49.26,68,75,11.5,broken clouds
25,Bluff,NZ,-46.6,168.3333,48.79,60,100,13.0,overcast clouds
26,Vaini,TO,-21.2,-175.2,78.96,69,20,9.22,few clouds
27,Kirakira,SB,-10.4544,161.9205,81.55,82,96,12.39,moderate rain
28,Albany,US,42.6001,-73.9662,79.45,64,34,6.8,scattered clouds
29,Fez,MA,34.0372,-4.9998,61.05,72,40,3.44,scattered clouds
30,Busselton,AU,-33.65,115.3333,65.41,76,96,14.7,light rain
31,Kumluca,TR,36.3703,30.2869,76.37,52,0,7.67,clear sky
32,Raudeberg,NO,61.9875,5.1352,56.07,87,97,12.26,overcast clouds
33,Pevek,RU,69.7008,170.3133,34.5,84,5,13.53,clear sky
34,Prince Rupert,CA,54.3161,-130.3201,60.93,82,100,5.17,overcast clouds
35,Abu Kamal,SY,34.4506,40.9171,76.75,40,0,12.17,clear sky
36,Arraial Do Cabo,BR,-22.9661,-42.0278,66.92,69,100,17.07,overcast clouds
37,Saint George,US,37.1041,-113.5841,93.79,18,20,11.5,few clouds
38,New Norfolk,AU,-42.7826,147.0587,48.92,51,92,3.6,overcast clouds
39,Kapaa,US,22.0752,-159.319,82.38,70,0,9.22,clear sky
40,Manzanillo,CU,20.3433,-77.1167,78.03,83,100,3.44,overcast clouds
41,Klaksvik,FO,62.2266,-6.589,52.72,95,59,23.11,broken clouds
42,Tres Lagoas,BR,-20.7511,-51.6783,66.33,70,77,10.87,broken clouds
43,Saint-Pierre,RE,-21.3393,55.4781,67.91,52,100,4.61,overcast clouds
44,Jamestown,US,42.097,-79.2353,74.01,91,40,6.91,scattered clouds
45,Baijiantan,CN,45.6333,85.1833,93.65,17,92,3.91,overcast clouds
46,Altar,MX,30.7,-111.8167,93.25,38,11,18.07,few clouds
47,Maralal,KE,1.0968,36.698,53.1,77,71,3.56,broken clouds
48,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,98,7.96,overcast clouds
49,Hong Gai,VN,20.956,107.0946,87.71,83,98,12.28,overcast clouds
50,Port Elizabeth,ZA,-33.918,25.5701,49.32,99,4,6.24,clear sky
51,Saskylakh,RU,71.9167,114.0833,45.12,45,10,12.86,clear sky
